type,question,answer
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，以下不属于A类基础设施项目的是（ ）,D
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，以下不属于2522履约督导的内容是,A
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，以下不属于一级节点的是（ ）,C
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，以下不属于项目部的管理职责的是（ ）,A
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，项目部实施计划中《项目部实施计划》编写任务表项目责任人是（ ）,A
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，项目部实施计划中，物资（设备）需用计划表项目责任人是（）,D
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，项目部实施计划中，物资（设备）进场验收计划项目责任人是（ ）,D
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，项目部实施计划中，施工平面规划方案项目责任人是（ ）,D
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，项目部实施计划中，职业健康与安全生产管理计划项目责任人是（ ）,A
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，原地貌踏勘，搜集相关征拆内容项目责任人是（ ）,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，征地完成后（ ）日，办公区、生活区具备使用条件。,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，施工组织设计编制，项目主要责任人是（ ）,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，与业主、设计院进行会 审图纸会审完成，项目主要责任人是（）,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，项目一级节点计划编制及调整，审批责任人为（ ）,D
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，建设单位、监理例会纪要，项目部在收到监理例会纪要后（ ）小时内上报,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，建设单位、监理例会纪要，项目主要责任人是（ ）,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，项目部在交竣工前不迟于（ ）个月开展交竣工策划，着手编制销项计划和交竣工验收计划，在工程正式移交前一个月或者正式停工前（预计停工期不少于一个月）一周，制订<工程收尾工作计划>，妥善安排项目收尾工作,D
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，交竣工前（ ）个月开始，逐层级进行销项，销项计划制定应按层次和阶段来组织，确保顺利销项收尾,D
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，工程技术资料、工程质量和施工进度进行自检，项目责任人是（ ）,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，汇总编写 《项目完工总结报告》项目责任人是（ ）,D
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，履约投诉造成不良影响，极有可能引发业主重大索赔、受到政府严重行政处罚、造成严重不良社会影响或对局市场营销将产生严重不良影响的投诉，属于（ ）投诉,C
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，履约投诉需约见局分管领导，属于（ ）投诉,C
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，标杆项目提出立项申请，需在每年（ ）月底前,B
单选题,公司A 类基础设施合格分包商分级管理，级别划分为（ ）等级,B
单选题,公司施工方案，需公司总工程师审批的是（ ）类,B
单选题,项目部应按照要求组织对施工组织设计进行交底，项目责任人为（）,B
单选题,施工组织设计因不同的原因需更改，项目责任人为（ ）,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，首件工程 （试验段）制作交底及实施，项目主要责任人是（）,D
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，项目辨识危险源的主要责任人是（ ）,C
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，项目部每（ ）组织特种作业人员开展一次安全教育培训,C
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，项目部每月（ ）日前发布危险源清单,A
单选题,根据公司A类基础设施项目高效建造及履约考核管理办法相关规定，关键线路目标管控中，路通相对合同要求竣工日期提前不得少于（ ）个月,B
单选题,根据公司A类基础设施项目高效建造及履约考核管理办法相关规定，关键线路目标管控中，桥通相对合同要求竣工日期提前不得少于（ ）个月,C
单选题,根据公司A类基础设施项目高效建造及履约考核管理办法相关规定，关键线路目标管控中，洞通相对合同要求竣工日期提前不得少于（ ）个月,B
单选题,根据公司A类基础设施项目高效建造及履约考核管理办法相关规定，关键线路目标管控中，轨通相对合同要求竣工日期提前不得少于（ ）个月,C
单选题,根据公司A类基础设施项目高效建造及履约考核管理办法相关规定，关键线路目标管控中，城市快速路主线阶段开通要求竣工日期前不少于（ ）个月,D
单选题,根据公司A类基础设施项目高效建造及履约考核管理办法相关规定，每个项目每年设置一级节点（ ）个，项目年进度计划编制阶段明确,A
单选题,根据公司A类基础设施项目高效建造及履约考核管理办法相关规定，工期延误预警分级划分中，一级节点计划延误（ ）天为黄色预警,C
单选题,根据公司A类基础设施项目高效建造及履约考核管理办法相关规定，工期延误预警分级划分中，一级节点计划延误（ ）天为橙色预警,C
单选题,根据公司A类基础设施项目高效建造及履约考核管理办法相关规定，工期延误预警分级划分中，一级节点计划延误（ ）天及以上为红色预警,B
单选题,根据公司A类基础设施项目高效建造及履约考核管理办法相关规定，橙色预警的处置人为（ ）,B
单选题,根据公司A类基础设施项目高效建造及履约考核管理办法相关规定，发生业主电话或信息投诉的项目为（ ）,C
单选题,根据公司A类基础设施项目高效建造及履约考核管理办法相关规定，发生业主书面投诉的项目为（ ）,D
单选题,"根据公司A类基础设施项目高效建造及履约考核管理办法相关规定，连续2个月月度计划完成（ ）%以下的项目,项目班子成员当月绩效考核均为C档，由二级单位副总经理约谈项目经理，并报基础设施事业部备案",C
单选题,根据公司A类基础设施十项重大安全风险项目管控要点指引的相关要求，桥梁上部结构现浇前，（ ）主责对满堂支架地基基础是否满足承载力要求进行现场调查,D
单选题,根据公司A类基础设施十项重大安全风险项目管控要点指引的相关要求，桥梁架桥机安装及拆除作业时，（ ）主责架桥机的验收,A
单选题,根据公司A类基础设施十项重大安全风险项目管控要点指引的相关要求，某工程预制梁运输过程中因便道转弯半径偏小、便道承载力不足等原因，造成运梁车侧翻，梁体断裂。请问项目部（ ）负主责,B
单选题,根据公司A类基础设施十项重大安全风险项目管控要点指引的相关要求，某工程现场未设置危大工程标志牌，行业主管部门检查时扣分。请问项目部（ ）负主责,D
单选题,根据公司A类基础设施十项重大安全风险项目管控要点指引的相关要求，某隧道工程暗挖法时，因方案中安全技术、管控措施等不明确，内容不充分。造成安全事故，请问项目部（ ）负主责,A
单选题,按混凝土路面接缝的用途可将其分为(    ),C
单选题,路基施工过程中，各施工层表面不应有积水，填方路堤应根据土质和施工时的气候情况，做成（    ）的排水横坡,B
单选题,土石混填路堤施工过程中，石块的最大粒径不得超过（    ）,D
单选题,为了确定路基填土的最大干密度和最佳含水量，应做(     )试验,B
单选题,不同性质的土应分别填筑，不得混填。每种填料层累计总厚不宜小于（   ）,A
单选题,洞口开挖土石方进洞前应尽早完成（    ）,D
单选题,水泥稳定类基层施工时，当压实厚度超过(    )时，应分层摊铺,C
单选题,锚杆安装作业应在（    ）及时进行,B
单选题,基坑工程中，应由（  ）委托第三方检测,B
单选题,涵洞完成后，应在涵洞砌体砂浆或砼强度达到设计标准的（   ）时方可填土。,D
单选题,钢筋混凝土轴心受拉构件中，配置在接头长度区段内的焊接受力钢筋在受拉区，其接头的截面面积占总截面面积的最大百分率是（）,A
单选题,灌注桩护筒高度宜高出地面（ ）米或水面（  ）米,C
单选题,在桥梁施工中，泵送混凝土拌合物的坍落度宜为（    ）mm,C
单选题,隧道爆破施工时，光面爆破中炮眼的起爆顺序是（   ）,B
单选题,混凝土自高处卸落时，应防止混凝土离析，直接倾卸时，其自由卸落高度不宜超过（ ）m,A
单选题,根据《市政工程施工安全检查标准》规定，市区主要路段的施工现场应设置高度不低于（ ）米的封闭围挡,C
单选题,根据《市政工程施工安全检查标准》规定，下面关于土石围堰施工说法不正确的是（  ）,D
单选题,根据《市政工程施工安全检查标准》规定，涵洞位于路基范围内时，其顶部以上（  ）范围内不得使用压路机压实,B
单选题,根据《市政工程施工安全检查标准》规定，双机协作起重吊装作业时，单机荷载不应超过额定起重量的（ ）,C
单选题,下列检测项目中，不属于沥青混凝土桥面铺装施工质量检验实测项目的是（ ）,C
单选题,"钢结构焊缝探伤的比例和长度应满足设计要求，设计未要求时，射线法按（ ）抽查,且不少于3条",C
单选题,热拌沥青混合料路面应在待摊铺层自然降温至表面温度低于（ ）℃后，方可开放交通。,C
单选题,城镇道路工程在面层混凝土板在达到设计强度的（ ）以后，方可允许行人通行。,A
单选题,热拌沥青混合料面层摊铺碾压，说法正确的是（  ）,D
单选题,任何单位都必须经公安交通管理部门和（  ）的批准，才能按规定占用和挖掘城市道路,C
单选题,夏季高温时浇筑混凝土应加快浇筑速度，混凝土入模温度不宜高于() ℃。,C
单选题,大体积混凝土常用外加剂是 （  ）,B
单选题,关于沥青混凝土路面施工时选用沥青的说法，不正确的是      （  ）,D
单选题,现浇混凝土应在浇筑完毕后的(  )内加以覆盖并浇水,C
单选题,为保证沥青路面接缝的质量，下列说法错误的是（  ）,B
单选题,混凝土采用泵送时，泵送的间隔时间不宜超过（  ）,B
单选题,设备在居民区域工作时，应采取降噪措施。搅拌、泵送、振捣等作业的允许噪声，昼间为（  ），夜间为（  ）,C
单选题,在下列地基处理方法中，施工前需要选择有代表性地段进行工艺性试验的是（  ）,A
单选题,桩基础施工质量验收要求，桩位的放样允许偏差为：群桩（ ）mm；单排桩（ ）mm,D
单选题,临时设施验收负责人为（ ）,C
单选题,受限空间作业审批人为（  ）,C
单选题,起重吊装作业审批人为（  ）,C
单选题,施工用电设备数量在（  ）台及以上，或用电设备容量在 （）kW及以上时，应编制用电组织设计,B
单选题,分配电箱与开关箱的距离不得超过 （  ）开关箱与用电设备的水平距离不宜超过（  ）,A
单选题,施工现场用气瓶间距不应小于5米、距明火间距不应小于（   ）,C
单选题,起重吊装使用的索具当采用编结连接时，编结长度不应小于（  ）倍的绳径，且不应小于（  ）mm,A
单选题,工作接地电阻不得大于（ ）Ω，重复接地电阻不得大于（）Ω,A
单选题,施工现场开挖沟槽边缘与外电埋地电缆沟槽边缘之间的距离不得小于（  ）m,D
单选题,在建工程（含脚手架具）周边与10kV外电架空线路边线之间的最小安全操作距离应是(    )m,C
单选题,吊索与所吊构件间的水平夹角应为（  ）,B
单选题,用于起吊作业的卷筒在吊装构件时，卷筒上的钢丝绳必须最少保留（  ）圈。,B
单选题,根据《中国建筑股份有限公司安全生产管理手册》，特种作业人员月度安全教育主责人员是（ ）,A
单选题,根据《中国建筑股份有限公司安全生产管理手册》，项目经理每月带班生产时间不得少于当月施工时间的（ ）,C
单选题,喷射混凝土的(  )强度不应小于10 MPa,C
单选题,二次衬砌的施作时间为( ),D
